csvlbls,ovvec,wdayvec,wendvec,nightov,nightwday,nightwend,morov,morwday,morwend,aftov,aftwday,aftwend,eveov,evewday,evewend
2018_February_Z,1.52931095559027,1.71515224579329,1.10439258892816,1.05540726770959,1.06907639401701,1.0223735458,1.80884872759279,2.08784116654357,1.15786637004096,2.0866128004087,2.50890935653156,1.17163692880917,1.19566115481367,1.25396439687028,1.06569351106249
2020_February_Z,1.58230224958659,1.79412114169639,1.06501821832897,0.990168180494782,1.02943325312085,0.890752358313884,1.94245111255904,2.27108141024908,1.13456829740436,2.2267125374046,2.65123622922893,1.2273130129015,1.17708167739473,1.24905572204809,1.00250633504404
2018_March_Z,1.51621702248659,1.68737660418001,1.09588093349065,1.04669499760083,1.07236588970164,0.98275994557616,1.76900725744828,2.0272892366202,1.13765130836136,2.0439762739182,2.38165218190623,1.2185462766141,1.20266524901729,1.26819910849196,1.04247137030144
2020_March_Z,1.36568009332854,1.48055594468552,1.05480472238825,0.981869768185318,1.00875755212356,0.906927221463828,1.69606387103484,1.8863132290429,1.17684166480451,1.73109853855464,1.93515362068332,1.17419821024512,1.05841036639189,1.09494298725437,0.963855347688981
2018_April_Z,1.53803527027006,1.72893668649897,1.09259863240262,1.00032396750757,1.03346637695068,0.922991678806981,1.82487405748624,2.11143369305181,1.15623490783326,2.13817663723688,2.52818526127875,1.22815651447251,1.18876641884956,1.24266141471464,1.06301142849772
2020_April_Z,1.13961360260193,1.22093215663072,0.918105249700594,0.911036626764019,0.929067872563057,0.862202002724957,1.40428733040824,1.56692845174497,0.960412603426778,1.30319859231461,1.42171909525667,0.979736386368576,0.938654894575391,0.963785235324091,0.870070006282063
2018_February_H,5.17060926693002,5.64869542441023,4.0774851881081,3.72949646058066,3.71829143550198,3.75657527118748,5.84159770130365,6.57066164044118,4.14044850998274,6.87693658486045,7.99114130779432,4.46282635183709,4.32946474058221,4.49965126222279,3.95009061942508
2020_February_H,5.60466678547527,6.20660315787901,4.13467480234194,3.73368721612668,3.85086768552018,3.43699624042822,6.51461030913793,7.44733275932405,4.22166761909705,7.60782088739302,8.78469206448047,4.83726999133298,4.59239456917161,4.82592229642481,4.02596561370639
2018_March_H,5.32310419872058,5.78776571089394,4.18198197347623,3.62968786117898,3.57455765966846,3.76699326871463,5.86877900163328,6.57327163459054,4.14668589884886,7.29346056900068,8.26359627168934,4.92201774020618,4.49138497415786,4.73963727762743,3.88454601012115
2020_March_H,4.69404864921802,4.98693325461408,3.90144855729573,3.52576471016114,3.57769755367881,3.3810157207821,5.45894491592029,5.89409033703192,4.27136053746979,5.84578100230618,6.39245815170671,4.35380794873389,3.95567716402481,4.09033126602807,3.60716066472228
2018_April_H,5.38468604688012,5.83321103746039,4.33812773552616,3.72744120458242,3.7956435847577,3.56830231750676,5.75455652477453,6.45273126050061,4.12548214141365,7.33408341719003,8.34948326907342,4.9648170961288,4.7226630409735,4.73498603550982,4.69390938705544
2020_April_H,4.14853178868994,4.44316437347943,3.34596490408107,3.21157107847961,3.29272485008315,2.99177961372001,4.88760398331471,5.45599287576637,3.33637596433203,4.95334077458077,5.3592597738493,3.84552017241042,3.53637690100922,3.6558980131243,3.21018386586183
